i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp
53,21772.0,48.13238070219714,8410640000.0,-41553.327471669516,-333555.3274717331
53,21772.25,48.28217776084041,8410640000.0,-41549.23359022638,-333551.23359012604
53,21772.5,49.241553591454014,8410640000.0,-41545.22854289428,-333547.22854328156
53,21772.75,47.90081116941361,8410640000.0,-41540.99059485281,-333542.9905948639
54,21773.0,49.06428523125142,8410640000.0,-41536.934268081255,-333538.93426799774
54,21773.25,47.40768345220714,8410640000.0,-41532.77585412308,-333534.7758541107
54,21773.5,50.22330409844148,8410640000.0,-41528.70530855928,-333530.7053089142
54,21773.75,49.39315795924653,8410640000.0,-41524.62322732142,-333526.62322711945
55,21774.0,47.72529727536668,8410640000.0,-41520.44454599345,-333522.44454574585
55,21774.25,49.17917248908806,8410640000.0,-41516.236613379,-333518.2366132736
55,21774.5,48.6937515807206,8410640000.0,-41512.30258419489,-333514.30258464813
55,21774.75,48.25319513339509,8410640000.0,-41508.04184596199,-333510.04184627533
56,21775.0,47.94292781096801,8410640000.0,-41503.905745859105,-333505.9057455063
56,21775.25,48.381001588921535,8410640000.0,-41499.81030817604,-333501.8103084564
56,21775.5,48.11525740553395,8410640000.0,-41495.76371493133,-333497.76371479034
56,21775.75,49.537780296825495,8410640000.0,-41491.66124424418,-333493.6612443924
57,21776.0,48.80117552249974,8410640000.0,-41487.585555732505,-333489.5855560303
57,21776.25,48.478429383300885,8410640000.0,-41483.30459572433,-333485.30459594727
57,21776.5,48.89842646144126,8410640000.0,-41479.2293849779,-333481.229385376
57,21776.75,47.54594567504661,8410640000.0,-41475.17920600846,-333477.17920589447
58,21777.0,48.54366029784844,8410640000.0,-41471.05734682827,-333473.05734729767
58,21777.25,48.716798298193694,8410640000.0,-41466.92934898496,-333468.9293489456
58,21777.5,49.455350460988065,8410640000.0,-41462.7126753648,-333464.7126750946
58,21777.75,48.96935371411789,8410640000.0,-41458.692405264555,-333460.6924057007
59,21778.0,48.67671480692871,8410640000.0,-41454.505637676564,-333456.50563812256
59,21778.25,48.6749491858743,8410640000.0,-41450.423898458495,-333452.4238986969
59,21778.5,47.54414259484925,8410640000.0,-41446.32914726761,-333448.32914733887
