i,timesec,power_total,downconfreq,dopp_firstmoment,exp_dopp, second_moment,RTEC
56,21775.0,47.94292781096801,8410640000.0,-41503.905745859105,-333505.9057455063,4.730869314160415,2.7533354568276955e+30
56,21775.25,48.381001588921535,8410640000.0,-41499.81030817604,-333501.8103084564,5.0731236782775,2.918353364552145e+30
56,21775.5,48.11525740553395,8410640000.0,-41495.76371493133,-333497.76371479034,5.840177223868841,3.2816834742860765e+30
56,21775.75,49.537780296825495,8410640000.0,-41491.66124424418,-333493.6612443924,4.930820494190947,2.849974637671931e+30
57,21776.0,48.80117552249974,8410640000.0,-41487.585555732505,-333489.5855560303,5.9393458450490675,3.3280551449415054e+30
57,21776.25,48.478429383300885,8410640000.0,-41483.30459572433,-333485.30459594727,4.359883437058156,2.572196049381211e+30
57,21776.5,48.89842646144126,8410640000.0,-41479.2293849779,-333481.229385376,3.89185329711235,2.3399435795561468e+30
57,21776.75,47.54594567504661,8410640000.0,-41475.17920600846,-333477.17920589447,3.836172566966737,2.3120121618790846e+30
58,21777.0,48.54366029784844,8410640000.0,-41471.05734682827,-333473.05734729767,4.031089468306203,2.4095005654313391e+30
58,21777.25,48.716798298193694,8410640000.0,-41466.92934898496,-333468.9293489456,5.155924548638491,2.9579929138435253e+30
