ET_time(sec) 	 time(sec of day) 	 freq_residual(Hz=exp-theo) 	 exp_dopp 	 theo_dopp 
686588157.4323435	10488.25000	-2847.959305	11425.92230	14273.88160
686588157.6823435	10488.50000	-2847.062016	11426.78020	14273.84222
686588157.9323435	10488.75000	-2848.923627	11424.87920	14273.80283
686588158.1823435	10489.00000	-2847.411837	11426.35160	14273.76344
686588158.4323435	10489.25000	-2845.892446	11427.83160	14273.72405
686588158.6823435	10489.50000	-2846.395154	11427.28950	14273.68465
686588158.9323435	10489.75000	-2844.234261	11429.41100	14273.64526
686588159.1823435	10490.00000	-2845.168466	11428.43740	14273.60587
686588159.4323435	10490.25000	-2847.569373	11425.99710	14273.56647
686588159.6823435	10490.50000	-2845.869777	11427.65730	14273.52708
686588159.9323435	10490.75000	-2839.333580	11434.15410	14273.48768
686588160.1823435	10491.00000	-2843.300582	11430.14770	14273.44828
686588160.4323435	10491.25000	-2846.365284	11427.04360	14273.40888
686588160.6823435	10491.50000	-2845.887184	11427.48230	14273.36948
686588160.9323435	10491.75000	-2845.718784	11427.61130	14273.33008
686588161.1823435	10492.00000	-2844.867783	11428.42290	14273.29068
686588161.4323435	10492.25000	-2845.052381	11428.19890	14273.25128
686588161.6823435	10492.50000	-2847.649378	11425.56250	14273.21188
686588161.9323435	10492.75000	-2845.316574	11427.85590	14273.17247
686588162.1823435	10493.00000	-2844.960269	11428.17280	14273.13307
686588162.4323435	10493.25000	-2839.363063	11433.73060	14273.09366
686588162.6823435	10493.50000	-2843.657255	11429.39700	14273.05426
686588162.9323435	10493.75000	-2844.584848	11428.43000	14273.01485
686588163.1823435	10494.00000	-2845.826640	11427.14880	14272.97544
686588163.4323435	10494.25000	-2845.046130	11427.88990	14272.93603
686588163.6823435	10494.50000	-2844.547420	11428.34920	14272.89662
686588163.9323435	10494.75000	-2843.039108	11429.81810	14272.85721
686588164.1823435	10495.00000	-2840.973695	11431.84410	14272.81780
686588164.4323435	10495.25000	-2842.253183	11430.52520	14272.77838
686588164.6823435	10495.50000	-2843.193869	11429.54510	14272.73897
686588164.9323435	10495.75000	-2843.747554	11428.95200	14272.69955
686588165.1823435	10496.00000	-2843.880338	11428.77980	14272.66014
686588165.4323435	10496.25000	-2842.079121	11430.54160	14272.62072
686588165.6823435	10496.50000	-2841.978704	11430.60260	14272.58130
686588165.9323435	10496.75000	-2843.181585	11429.36030	14272.54188
686588166.1823435	10497.00000	-2844.249665	11428.25280	14272.50246
686588166.4323435	10497.25000	-2842.047644	11430.41540	14272.46304
686588166.6823435	10497.50000	-2840.889023	11431.53460	14272.42362
686588166.9323435	10497.75000	-2840.635701	11431.74850	14272.38420
686588167.1823435	10498.00000	-2841.357577	11430.98720	14272.34478
686588167.4323435	10498.25000	-2849.688952	11422.61640	14272.30535
686588167.6823435	10498.50000	-2839.766028	11432.49990	14272.26593
686588167.9323435	10498.75000	-2844.254101	11427.97240	14272.22650
686588168.1823435	10499.00000	-2840.816175	11431.37090	14272.18707
686588168.4323435	10499.25000	-2841.809047	11430.33860	14272.14765
686588168.6823435	10499.50000	-2839.229817	11432.87840	14272.10822
686588168.9323435	10499.75000	-2840.115187	11431.95360	14272.06879
686588169.1823435	10500.00000	-2840.651257	11431.37810	14272.02936
686588169.4323435	10500.25000	-2839.146425	11432.84350	14271.98993
686588169.6823435	10500.50000	-2840.425593	11431.52490	14271.95049
686588169.9323435	10500.75000	-2838.164359	11433.74670	14271.91106
686588170.1823435	10501.00000	-2833.909824	11437.96180	14271.87162
686588170.4323435	10501.25000	-2839.958989	11431.87320	14271.83219
686588170.6823435	10501.50000	-2838.605253	11433.18750	14271.79275
686588170.9323435	10501.75000	-2841.039216	11430.71410	14271.75332
686588171.1823435	10502.00000	-2839.851078	11431.86280	14271.71388
686588171.4323435	10502.25000	-2839.230139	11432.44430	14271.67444
686588171.6823435	10502.50000	-2837.806799	11433.82820	14271.63500
686588171.9323435	10502.75000	-2839.680258	11431.91530	14271.59556
686588172.1823435	10503.00000	-2837.865517	11433.69060	14271.55612
686588172.4323435	10503.25000	-2837.181973	11434.33470	14271.51667
686588172.6823435	10503.50000	-2837.808630	11433.66860	14271.47723
686588172.9323435	10503.75000	-20.403686	14251.03410	14271.43779
686588173.1823435	10504.00000	-2835.656640	11435.74170	14271.39834
686588173.4323435	10504.25000	-2839.201093	11432.15780	14271.35889
686588173.6823435	10504.50000	-2837.389946	11433.92950	14271.31945
686588173.9323435	10504.75000	-2837.606298	11433.67370	14271.28000
686588174.1823435	10505.00000	-2837.409849	11433.83070	14271.24055
686588174.4323435	10505.25000	-2842.172299	11429.02880	14271.20110
686588174.6823435	10505.50000	-2829.141848	11442.01980	14271.16165
686588174.9323435	10505.75000	-2836.103996	11435.01820	14271.12220
686588175.1823435	10506.00000	-2836.110743	11434.97200	14271.08274
686588175.4323435	10506.25000	-2837.505889	11433.53740	14271.04329
686588175.6823435	10506.50000	-2836.876835	11434.12700	14271.00383
686588175.9323435	10506.75000	-2836.228578	11434.73580	14270.96438
686588176.1823435	10507.00000	-2837.159222	11433.76570	14270.92492
686588176.4323435	10507.25000	-2836.494964	11434.39050	14270.88546
686588176.6823435	10507.50000	-2835.118006	11435.72800	14270.84601
686588176.9323435	10507.75000	-2837.240347	11433.56620	14270.80655
686588177.1823435	10508.00000	-2834.906387	11435.86070	14270.76709
686588177.4323435	10508.25000	-2833.972325	11436.75530	14270.72763
